class,rank,band_index,wavenumber,importance
Aa,1,593,1435.3072625698323,1.0
Aa,2,595,1437.9888268156424,0.828360629461369
Aa,3,592,1433.9664804469273,0.8180671209930057
Aa,4,594,1436.6480446927374,0.7653997579185228
Aa,5,591,1432.6256983240223,0.6128692350796131
Fn,1,757,1655.195530726257,1.0
Fn,2,756,1653.854748603352,0.7934970122745367
Fn,3,758,1656.536312849162,0.6431397795364306
Fn,4,755,1652.513966480447,0.6138798999577825
Fn,5,592,1433.9664804469273,0.5335105887683136
PG,1,591,1432.6256983240223,1.0
PG,2,596,1439.3296089385474,0.9610216566281475
PG,3,601,1446.0335195530724,0.9483264076099976
PG,4,597,1440.6703910614524,0.8197671183876556
PG,5,599,1443.3519553072624,0.7979735675874091
Pn,1,614,1463.4636871508378,1.0
Pn,2,613,1462.122905027933,0.881022161665009
Pn,3,615,1464.804469273743,0.8487581536202321
Pn,4,592,1433.9664804469273,0.7273578967994271
Pn,5,608,1455.4189944134077,0.5927174844550758
