class,rank,band_index,wavenumber,importance
baoman,1,134,779.6648044692737,1.0
baoman,2,133,778.3240223463687,0.8770864284906975
baoman,3,136,782.3463687150838,0.8649977909044474
baoman,4,135,781.0055865921788,0.8288664962664805
baoman,5,139,786.3687150837989,0.7976943033198779
dachang,1,625,1472.8491620111731,1.0
dachang,2,623,1470.167597765363,0.9332768521946756
dachang,3,617,1462.122905027933,0.8934245586143327
dachang,4,624,1471.508379888268,0.8926290919105063
dachang,5,615,1459.441340782123,0.8318258929835315
feike,1,132,776.9832402234637,1.0
feike,2,131,775.6424581005587,0.7908451391703325
feike,3,135,781.0055865921788,0.7133569817956826
feike,4,271,998.2122905027933,0.6917739578068712
feike,5,130,774.3016759776536,0.6842048493721822
jinpu,1,131,775.6424581005587,1.0
jinpu,2,132,776.9832402234637,0.9662053249346585
jinpu,3,135,781.0055865921788,0.9115975422340683
jinpu,4,133,778.3240223463687,0.8489995243084455
jinpu,5,130,774.3016759776536,0.7516104199723445
