class,rank,band_index,wavenumber,importance
baoman/R,1,368,1128.2681564245809,1.0
baoman/R,2,367,1126.927374301676,0.9767132819932984
baoman/R,3,369,1129.608938547486,0.9417952188048199
baoman/R,4,370,1130.949720670391,0.8547461985538126
baoman/R,5,615,1459.441340782123,0.7775719571483731
baoman/S,1,613,1456.7597765363128,1.0
baoman/S,2,359,1116.2011173184358,0.9622445018645978
baoman/S,3,614,1458.1005586592178,0.9404931422824032
baoman/S,4,616,1460.7821229050278,0.9240984681030252
baoman/S,5,370,1130.949720670391,0.923489809407533
dachang/ESBL/ESBL+,1,703,1577.4301675977654,1.0
dachang/ESBL/ESBL+,2,702,1576.0893854748601,0.9601988489422086
dachang/ESBL/ESBL+,3,701,1574.7486033519554,0.9110740401670483
dachang/ESBL/ESBL+,4,370,1130.949720670391,0.8427390482657385
dachang/ESBL/ESBL+,5,503,1309.2737430167597,0.7752905895723782
dachang/ESBL/ESBL-,1,371,1132.2905027932961,1.0
dachang/ESBL/ESBL-,2,370,1130.949720670391,0.9981307307090336
dachang/ESBL/ESBL-,3,369,1129.608938547486,0.864958889744844
dachang/ESBL/ESBL-,4,382,1147.0391061452515,0.8274868018555024
dachang/ESBL/ESBL-,5,703,1577.4301675977654,0.7500657588335057
dachang/FQR,1,277,1006.2569832402235,1.0
dachang/FQR,2,278,1007.5977653631285,0.6211129516200025
dachang/FQR,3,279,1008.9385474860335,0.5780778731258448
dachang/FQR,4,741,1628.3798882681563,0.553087574997004
dachang/FQR,5,274,1002.2346368715084,0.5306516829456505
feike/CRE,1,271,998.2122905027933,1.0
feike/CRE,2,272,999.5530726256983,0.8645220876322647
feike/CRE,3,450,1238.2122905027932,0.6670638096952066
feike/CRE,4,133,778.3240223463687,0.6531128164100969
feike/CRE,5,452,1240.8938547486032,0.6283959737112025
feike/ESBL/ESBL+,1,135,781.0055865921788,1.0
feike/ESBL/ESBL+,2,635,1486.2569832402235,0.9236161032435443
feike/ESBL/ESBL+,3,503,1309.2737430167597,0.8783683263671354
feike/ESBL/ESBL+,4,614,1458.1005586592178,0.8469236479718693
feike/ESBL/ESBL+,5,604,1444.6927374301677,0.8429535059032915
feike/ESBL/ESBL-,1,614,1458.1005586592178,1.0
feike/ESBL/ESBL-,2,635,1486.2569832402235,0.9961877794496156
feike/ESBL/ESBL-,3,603,1443.3519553072624,0.9776433246751254
feike/ESBL/ESBL-,4,135,781.0055865921788,0.9519817968839126
feike/ESBL/ESBL-,5,697,1569.385474860335,0.9519549658878178
jinpu/MRSA,1,601,1440.6703910614524,1.0
jinpu/MRSA,2,600,1439.3296089385474,0.9018827369374105
jinpu/MRSA,3,599,1437.9888268156424,0.8112387223636333
jinpu/MRSA,4,596,1433.9664804469273,0.7568346204364433
jinpu/MRSA,5,603,1443.3519553072624,0.7453478006792233
jinpu/MSSA,1,505,1311.95530726257,1.0
jinpu/MSSA,2,601,1440.6703910614524,0.9677944943994238
jinpu/MSSA,3,600,1439.3296089385474,0.9214950543637473
jinpu/MSSA,4,607,1448.7150837988825,0.9053847259048341
jinpu/MSSA,5,500,1305.2513966480446,0.8997456743175843
