class,rank,band_index,wavenumber,importance
Enterobacter,1,263,1003.5754189944134,1.0
Enterobacter,2,584,1433.9664804469273,0.9811638512494271
Enterobacter,3,583,1432.6256983240223,0.8767553499867148
Enterobacter,4,353,1124.245810055866,0.761725386814793
Enterobacter,5,259,998.2122905027933,0.732991890553882
Escherichia,1,265,1006.2569832402235,1.0
Escherichia,2,266,1007.5977653631285,0.6758528449536593
Escherichia,3,267,1008.9385474860335,0.5913793170973985
Escherichia,4,621,1483.5754189944132,0.5076168136994799
Escherichia,5,264,1004.9162011173185,0.4910148440815872
Klebsiella,1,622,1484.9162011173185,1.0
Klebsiella,2,621,1483.5754189944132,0.9630013336781094
Klebsiella,3,619,1480.8938547486032,0.8542616495096451
Klebsiella,4,620,1482.2346368715084,0.7795001811965572
Klebsiella,5,618,1479.5530726256984,0.7463044360636731
Proteus,1,589,1440.6703910614524,1.0
Proteus,2,588,1439.3296089385474,0.9698177932629947
Proteus,3,593,1446.0335195530724,0.9115551703994176
Proteus,4,587,1437.9888268156424,0.8266769409906041
Proteus,5,585,1435.3072625698323,0.82617563719491
Serratia,1,592,1444.6927374301677,1.0
Serratia,2,259,998.2122905027933,0.9702695833895809
Serratia,3,585,1435.3072625698323,0.9691842221623723
Serratia,4,261,1000.8938547486033,0.8687147401085893
Serratia,5,262,1002.2346368715084,0.8538786556471655
