class,rank,band_index,wavenumber,importance
Enterobacter/ECL,1,587,1437.9888268156424,1.0
Enterobacter/ECL,2,588,1439.3296089385474,0.8027615709790257
Enterobacter/ECL,3,586,1436.6480446927374,0.5387087148683873
Enterobacter/ECL,4,585,1435.3072625698323,0.524304289399403
Enterobacter/ECL,5,589,1440.6703910614524,0.5242119444106803
Enterobacter/ESK,1,135,781.0055865921788,1.0
Enterobacter/ESK,2,263,1003.5754189944134,0.7287588828798359
Enterobacter/ESK,3,134,779.6648044692737,0.6361681018847571
Enterobacter/ESK,4,621,1483.5754189944132,0.6204111473462678
Enterobacter/ESK,5,622,1484.9162011173185,0.6082266791368702
Escherichia/EC,1,0,600.0,0.0
Escherichia/EC,2,857,1800.0,0.0
Escherichia/EC,3,856,1798.659217877095,0.0
Escherichia/EC,4,855,1797.31843575419,0.0
Escherichia/EC,5,854,1795.9776536312847,0.0
Klebsiella/KAE,1,594,1447.3743016759777,1.0
Klebsiella/KAE,2,597,1451.3966480446927,0.9622123192556608
Klebsiella/KAE,3,593,1446.0335195530724,0.9376756633829207
Klebsiella/KAE,4,615,1475.5307262569831,0.9309598935307883
Klebsiella/KAE,5,614,1474.1899441340781,0.8239575904669263
Klebsiella/KOX,1,257,995.5307262569831,1.0
Klebsiella/KOX,2,258,996.8715083798883,0.9192995260889102
Klebsiella/KOX,3,129,772.9608938547486,0.9103751080922609
Klebsiella/KOX,4,502,1324.022346368715,0.8187169277348695
Klebsiella/KOX,5,507,1330.72625698324,0.7891787115763116
Klebsiella/KP,1,318,1077.31843575419,1.0
Klebsiella/KP,2,746,1651.173184357542,0.9414443134152538
Klebsiella/KP,3,745,1649.832402234637,0.9406465698965543
Klebsiella/KP,4,494,1313.2960893854747,0.9166593211440611
Klebsiella/KP,5,320,1080.0,0.9047513528080992
Proteus/PMI,1,607,1464.804469273743,1.0
Proteus/PMI,2,740,1643.1284916201116,0.990954326283541
Proteus/PMI,3,741,1644.4692737430166,0.9706066528776637
Proteus/PMI,4,739,1641.7877094972066,0.8448493969021602
Proteus/PMI,5,608,1466.1452513966478,0.811389675132278
Proteus/PVU,1,615,1475.5307262569831,1.0
Proteus/PVU,2,607,1464.804469273743,0.9011417223102605
Proteus/PVU,3,740,1643.1284916201116,0.7432921962567614
Proteus/PVU,4,616,1476.8715083798884,0.7386561477862942
Proteus/PVU,5,617,1478.2122905027932,0.7323210557623094
Serratia/SLI,1,754,1661.899441340782,1.0
Serratia/SLI,2,755,1663.240223463687,0.8928944235550103
Serratia/SLI,3,261,1000.8938547486033,0.8480824731462774
Serratia/SLI,4,725,1623.0167597765362,0.7622617055038927
Serratia/SLI,5,685,1569.385474860335,0.7354771772531804
Serratia/SMA,1,135,781.0055865921788,1.0
Serratia/SMA,2,725,1623.0167597765362,0.8093211963418998
Serratia/SMA,3,726,1624.3575418994412,0.7841530348596232
Serratia/SMA,4,323,1084.022346368715,0.7718162705806113
Serratia/SMA,5,332,1096.0893854748604,0.7697035197992399
