class,rank,band_index,wavenumber,importance
baoman/R,1,618,1428.603351955307,1.0
baoman/R,2,364,1088.04469273743,0.95756255710985
baoman/R,3,617,1427.2625698324023,0.9486175832544913
baoman/R,4,367,1092.0670391061453,0.9245491124495246
baoman/R,5,616,1425.921787709497,0.9054636713354314
baoman/S,1,617,1427.2625698324023,1.0
baoman/S,2,616,1425.921787709497,0.9609112465134048
baoman/S,3,618,1428.603351955307,0.85762843912735
baoman/S,4,615,1424.5810055865923,0.8023743690219242
baoman/S,5,357,1078.659217877095,0.7429000383891012
dachang/ESBL/ESBL+,1,630,1444.6927374301677,1.0
dachang/ESBL/ESBL+,2,631,1446.0335195530724,0.9793230467511514
dachang/ESBL/ESBL+,3,629,1443.3519553072624,0.9030256187980287
dachang/ESBL/ESBL+,4,532,1313.2960893854747,0.8219637124626481
dachang/ESBL/ESBL+,5,628,1442.0111731843576,0.7802856747258567
dachang/ESBL/ESBL-,1,630,1444.6927374301677,1.0
dachang/ESBL/ESBL-,2,631,1446.0335195530724,0.9613814068438821
dachang/ESBL/ESBL-,3,532,1313.2960893854747,0.8879155595015189
dachang/ESBL/ESBL-,4,534,1315.9776536312847,0.8482563757873812
dachang/ESBL/ESBL-,5,628,1442.0111731843576,0.8358139334793484
dachang/FQR,1,277,971.3966480446927,1.0
dachang/FQR,2,530,1310.6145251396647,0.686244045663647
dachang/FQR,3,278,972.7374301675977,0.6188746054193964
dachang/FQR,4,332,1045.1396648044692,0.5888454822016769
dachang/FQR,5,529,1309.2737430167597,0.5760298092249168
feike/CRE,1,455,1210.0558659217877,1.0
feike/CRE,2,133,778.3240223463687,0.7997678248351809
feike/CRE,3,277,971.3966480446927,0.798781481389069
feike/CRE,4,456,1211.3966480446927,0.7905908716638347
feike/CRE,5,449,1202.0111731843576,0.7402422270076825
feike/ESBL/ESBL+,1,606,1412.513966480447,1.0
feike/ESBL/ESBL+,2,630,1444.6927374301677,0.7856825516121984
feike/ESBL/ESBL+,3,614,1423.240223463687,0.7044120744971271
feike/ESBL/ESBL+,4,601,1405.8100558659216,0.6856873979197616
feike/ESBL/ESBL+,5,605,1411.1731843575417,0.6810665999908544
feike/ESBL/ESBL-,1,518,1294.5251396648046,1.0
feike/ESBL/ESBL-,2,524,1302.5698324022346,0.8593951061012729
feike/ESBL/ESBL-,3,519,1295.8659217877093,0.8482750554982683
feike/ESBL/ESBL-,4,630,1444.6927374301677,0.82937462230776
feike/ESBL/ESBL-,5,606,1412.513966480447,0.8164394774166409
jinpu/MRSA,1,527,1306.5921787709497,1.0
jinpu/MRSA,2,524,1302.5698324022346,0.9838192247681692
jinpu/MRSA,3,526,1305.2513966480446,0.761637234403658
jinpu/MRSA,4,525,1303.9106145251396,0.7204311153834085
jinpu/MRSA,5,134,779.6648044692737,0.6815516046311958
jinpu/MSSA,1,524,1302.5698324022346,1.0
jinpu/MSSA,2,525,1303.9106145251396,0.826283721168189
jinpu/MSSA,3,527,1306.5921787709497,0.7725007059557651
jinpu/MSSA,4,522,1299.8882681564246,0.6886692514506294
jinpu/MSSA,5,705,1545.2513966480446,0.6428253830684055
