class,rank,band_index,wavenumber,importance
baoman,1,136,782.3463687150838,1.0
baoman,2,135,781.0055865921788,0.7856017638639968
baoman,3,137,783.6871508379888,0.7099142050362959
baoman,4,364,1122.9050279329608,0.6354301481491033
baoman,5,153,805.1396648044692,0.606037675516072
dachang,1,276,1004.9162011173185,1.0
dachang,2,136,782.3463687150838,0.6989729789346703
dachang,3,370,1130.949720670391,0.6661225296488031
dachang,4,275,1003.5754189944134,0.6546619339146383
dachang,5,630,1479.5530726256984,0.6499277206209029
feike,1,153,805.1396648044692,1.0
feike,2,154,806.4804469273743,0.9468764503496182
feike,3,272,999.5530726256983,0.8375452338608185
feike,4,156,809.1620111731843,0.777230613740013
feike,5,279,1008.9385474860335,0.7363137072395913
jinpu,1,133,778.3240223463687,1.0
jinpu,2,135,781.0055865921788,0.8658428117171184
jinpu,3,134,779.6648044692737,0.8285711261155861
jinpu,4,588,1423.240223463687,0.7141914210694806
jinpu,5,132,776.9832402234637,0.6770734143244025
